len of url,no of dots,security sensitive words,no of hyphens in dom,dir_len,no of subdir,domain len,domain token count,path token count,ip present,largest domain_tok_len,avg_dom_token_len,largest path token length,avg path token length,suspicious tld,len_of_file,total dots in file,total delims in file,len_of_argument,no_of_variables,len_of_largest_variable_val,max_no_of_argum_delims,create_age(months),expiry_age(months),update_age(days),zipcode,URL,Label
66,5,0,0,33,4,13,2,4,0,9,6,10,7,0,11,1,0,9,1,4,0,45,3,260,187553,http://taylortea.com/wp-content/plugins/akismet/cehe/details.php?LOB=R...,1
56,9,1,0,17,3,26,6,3,0,6,3.5,7,4.333333333,0,13,4,0,0,0,0,0,226,14,8,85016,http://hiroba.dqx.jp.isrel.usa.cc/account/app/svc/login.html...,1
19,1,0,0,1,0,18,2,0,0,15,8.5,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://resumeresources.ca/,0
50,7,1,2,1,0,46,5,0,0,20,8.4,0,0,0,3,3,0,0,0,0,0,-1,-1,-1,-1,http://notification-account.com.smk-diponegoro.sch.id/...,1
66,5,0,0,45,3,18,3,3,0,11,5.333333333,32,13.66666667,0,3,3,0,0,0,0,0,102,6,184,-1,http://www.roadrunners.pl/media/auth/df8207c6ca6b56bf1722993f66864b08/...,1
58,5,0,0,33,4,14,2,4,0,11,6.5,8,7,0,11,4,0,0,0,0,0,-1,11,-1,110059,http://customprint.in/catalog/language/spanish/module/sign.htm...,1
25,2,0,0,5,1,20,3,1,0,12,6,3,3,0,0,0,0,0,0,0,0,210,18,570,-1,http://www.numbertheory.org/ntw/,0
60,6,0,0,34,4,14,3,4,0,6,4,12,7.25,0,12,4,0,0,0,0,0,160,8,891,85201,http://www.dlcomp.com/images/Fine/DpBoxtbtrich/dropbox/index.php...,1
21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,143,13,11,-1,http://www.balicrafters.com/,0
66,6,1,0,28,3,25,4,3,0,14,5.5,10,8,0,13,3,0,0,0,0,0,-1,-1,-1,-1,http://www.plantaoservopa.com.br/lavisa/paypal2016/accounts/52e2a76cee...,1
66,5,1,0,14,2,18,2,2,0,14,8.5,6,5.5,0,9,1,0,25,1,22,2,2,10,67,-1,http://integratedhost.com/update/gmail/login.php?l=_JeHFUq_VJOXK0QWHto...,1
50,7,1,0,5,1,32,4,1,0,21,7.25,3,3,0,13,4,0,0,0,0,0,-1,-1,-1,-1,http://www.rockdaledrivingschool.com.au/BOA/Signin.htm...,1
37,3,0,0,12,2,15,3,2,0,7,4.333333333,5,4.5,0,10,1,0,0,0,0,0,257,7,118,631,http://www.ametsoc.org/pubs/books/index.html,0
25,1,0,0,15,1,10,2,1,0,6,4.5,13,13,0,0,0,0,0,0,0,0,21,3,229,274300,http://hymesh.net/listfinancial/,1
66,7,0,1,20,3,14,2,3,0,10,6.5,8,5.333333333,0,15,2,0,17,1,9,0,41,7,151,64202,http://vega-books.com/language/fr-FR/.as/Alibaba.com.php?userid=abuse@...,1
17,1,0,0,1,0,16,2,0,0,12,7.5,0,0,0,0,0,0,0,0,0,0,200,4,236,76777731,http://bmwusfactory.com/,0
66,4,0,0,48,6,12,2,6,0,8,5.5,17,6.833333333,0,6,3,0,0,0,0,0,20,4,619,-1,http://gosgmart.com/image/catalog/demo/product/-/direction-general/red...,1
16,2,0,0,1,0,15,3,0,0,7,4.333333333,0,0,0,0,0,0,0,0,0,0,197,7,122,-1,http://www.xbridge.com/,0
65,4,0,0,14,2,16,2,2,0,12,7.5,7,5.5,0,35,3,0,0,0,0,0,117,3,253,423731,http://adviseproltd.com/Include/gdoc/a4d8dc05d67daa5ab800cf95b711d0cb...,1
66,4,0,1,42,3,19,2,3,0,16,9,18,12.66666667,0,5,3,0,0,0,0,0,2,-1,75,-1,http://agricole-service.fr/particuliers/security/g2e36g_information/up...,1
23,3,0,1,1,0,22,4,0,0,12,4.75,0,0,0,0,0,0,0,0,0,0,169,11,414,-1,http://www.picture-disc.co.uk/,0
24,1,0,0,4,1,20,2,1,0,16,9.5,2,2,0,0,0,0,0,0,0,0,6,6,168,-1,http://cutsnakecatering.com/oh/,1
66,7,0,0,4,1,40,5,1,0,13,7.2,2,2,0,22,3,0,0,0,0,0,20,4,196,92692,http://bmorrison.hickoryground.com.inews.report/ni/e4bea1e585910da8f8f...,1
19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,227,13,24,-1,http://www.puddinhill.com/,0
25,2,0,0,1,0,24,3,0,0,16,7.333333333,0,0,0,0,0,0,0,0,0,0,216,12,46,-1,http://www.bimbobakeriesusa.com/,0
66,6,1,0,24,2,28,3,2,0,20,8.666666667,12,10.5,0,14,4,0,0,0,0,0,7,5,212,98083,http://www.mamaefotografaexpert.com/~fezna329/seguroautoBB/login.do256...,1
23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,199,53,269,-1,http://www.bluedogzdesign.com/,0
66,6,0,0,8,2,23,4,2,0,12,5,3,2.5,0,35,3,0,0,0,0,0,-1,-1,-1,-1,http://www.cityofdreams.com.ua/tmp/pa/8ar0rvpnelq9m6mfk5nhdcoxyg8a5hzb...,1
20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,166,2,700,-1,http://www.physicspost.com/,0
66,5,0,0,38,5,21,3,5,0,14,6.333333333,10,6.4,0,7,3,0,0,0,0,0,-1,-1,-1,-1,http://onebeautystore.com.br/downloader/lib/Mage/Backup/Exception/norm...,1
33,2,0,0,14,2,19,3,2,0,12,5.666666667,9,5.5,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://smp2wonosari.sch.id/elearning/ch/,1
63,5,0,0,9,1,19,3,1,0,11,5.666666667,7,7,0,35,3,0,0,0,0,0,7,5,154,110035,http://web.kiaanevents.com/pagedoc/fea2120b4a8d260c09aefc63bf36941d...,1
31,2,0,0,1,0,30,3,0,0,22,9.333333333,0,0,0,0,0,0,0,0,0,0,26,10,88,94043,https://www.googlemerchandisestore.com/,0
33,2,0,0,10,1,10,2,1,0,6,4.5,8,8,0,13,1,0,0,0,0,0,228,96,423,77388,http://koausa.org/Proverbs/proverbs.html,0
27,5,0,0,1,0,26,6,0,0,6,3.5,0,0,0,0,0,0,0,0,0,0,226,14,8,85016,http://hiroba.dqx.jp.zicrl.usa.cc/,1
63,5,0,0,9,1,19,3,1,0,11,5.666666667,7,7,0,35,3,0,0,0,0,0,7,5,154,110035,http://web.kiaanevents.com/pagedoc/f69c6e98fb234fcaa7a139de2d3e9352...,1
20,2,0,0,7,1,13,3,1,0,5,3.666666667,5,5,0,0,0,0,0,0,0,0,209,7,3153,-1,http://www.syvum.com/kmsl1/,0
15,2,0,0,1,0,14,3,0,0,6,4,0,0,0,0,0,0,0,0,0,0,235,5,643,-1,http://www.ouidad.com/,0
39,2,0,0,21,2,18,3,2,0,8,5.333333333,11,9,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://plato.stanford.edu/entries/sovereignty/,0
18,2,0,0,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,211,17,998,-1,http://www.farleaves.com/,0
64,5,0,2,34,5,23,3,5,0,13,7,9,5.6,0,7,3,0,0,0,0,0,-1,-1,-1,10555,http://paypal.com-country-x.de/webapps/552199771/id/obj/proceed/form...,1
23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,107,64,1283,-1,http://www.mathisfunforum.com/,0
46,6,0,1,14,2,20,2,2,0,16,9.5,6,5.5,0,12,4,0,0,0,0,0,73,11,29,0,http://spacebuilders-lb.com/baddo/G.Docs/index.php...,1
19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,166,2,283,-1,http://www.netmedicos.com/,0
66,4,0,0,11,2,21,2,2,0,11,10,4,4,0,34,3,0,0,0,0,0,30,6,383,39,http://bookkeepers.directory/mama/mama/0af42c585cba168c6ca0b08403443d2...,1
22,2,0,0,5,1,8,2,1,0,5,3.5,3,3,0,9,1,0,0,0,0,0,12,12,1024,-1,http://anwia.pl/aol/index.htm,1
19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,199,5,1713,-1,http://www.domyresume.com/,0
46,5,0,0,16,2,27,3,2,0,20,8.333333333,7,6.5,0,3,3,0,0,0,0,0,-1,-1,-1,-1,http://evangelistaadvogados.com.br/newdrop/deiswe/...,1
40,3,0,0,1,0,21,3,0,0,14,6.333333333,0,0,0,18,1,0,0,0,0,0,-1,-1,-1,76135,http://www.softwareburner.de/softwareburner.htm,0
46,5,0,0,30,4,13,3,4,0,7,3.666666667,14,6.25,0,3,3,0,0,0,0,0,-1,-1,-1,-1,http://ganiinc.co.za/abdominsubommc/drop/wdd/date/...,1
13,2,0,0,1,0,12,3,0,0,4,3.333333333,0,0,0,0,0,0,0,0,0,0,206,46,28,-1,http://www.fftw.org/,0
31,2,0,0,1,0,30,3,0,0,22,9.333333333,0,0,0,0,0,0,0,0,0,0,186,54,1652,462003,http://www.whispersinthecorridors.com/,0
27,2,0,0,14,2,13,3,2,0,5,3.666666667,7,5.5,0,0,0,0,0,0,0,0,9,3,4,19462,http://ns4.pvtns.com/nama/dropbox/,1
18,2,0,0,1,0,15,3,0,0,7,4.333333333,0,0,0,2,0,0,0,0,0,0,70,41,318,-1,http://www.gyrogeo.com/n4,1
16,1,0,0,1,0,15,2,0,0,11,7,0,0,0,0,0,0,0,0,0,0,168,12,63,-1,http://killerbeans.com/,0
47,7,0,0,18,2,15,4,2,0,5,3,9,7.5,0,14,4,0,0,0,0,0,-1,-1,-1,-1,http://www.mitek.co.zw/libraries/course/mycours.htm...,1
27,3,0,0,1,0,26,4,0,0,16,5.75,0,0,0,0,0,0,0,0,0,0,184,8,485,-1,http://www.bobbymooreonline.co.uk/,0
66,7,0,0,18,2,12,3,2,0,5,3.333333333,10,7.5,0,9,1,0,27,1,21,0,-1,5,-1,682019,http://cmfri.org.in/invitation/excel/excel.php?rand=13inboxlightaspxn....,1
23,3,0,0,1,0,22,4,0,0,11,4.75,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.yarracoffee.com.au/,0
